表示名,自己紹介,投稿内容,投稿日時,コメント内容,コメントした人,いいねした人
Ken,キャンプ好きです,富士山最高！,2024/05/01 10:00,絶景ですね！,Yuki,Ken
Ken,キャンプ好きです,富士山最高！,2024/05/01 10:00,次はどこですか？,Taro,Yuki
Ken,都内IT勤務,新しいPC買った,2024/05/02 12:00,スペックは？,Ken(キャンプ好きの方),Yuki
Yuki,旅行が趣味,北海道の海鮮！,2024/05/03 18:00,美味しそう！,Ken(IT勤務の方),Ken(キャンプ好きの方)
Taro,サウナ中毒,整った〜,2024/05/04 21:00,最高ですね,Yuki,Ken(IT勤務の方)
Ken,キャンプ好きです,富士山最高！,2024/05/01 10:00,いいなー,Hana,Taro
Hana,カフェ巡り,新作ラテ,2024/05/05 15:00,おしゃれ！,Taro,Yuki
Ken,都内IT勤務,新しいPC買った,2024/05/02 12:00,爆速です,Yuki,Hana
Yuki,旅行が趣味,北海道の海鮮！,2024/05/03 18:00,羨ましい,Hana,Taro
Taro,サウナ中毒,整った〜,2024/05/04 21:00,羨ましいです,Hana,Ken(キャンプ好きの方)
