法人名,本社所在地,拠点名,拠点所在地,拠点責任者,契約サービス名,月額費用,担当社員
(株)田中工業,東京都千代田区,渋谷営業所,東京都渋谷区,佐藤太郎,サーバー保守,100000,高橋
(株)田中工業,東京都千代田区,渋谷営業所,東京都渋谷区,佐藤太郎,クラウドストレージ,50000,高橋
(株)田中工業,東京都千代田区,新宿支店,東京都新宿区,鈴木次郎,サーバー保守,100000,高橋
鈴木商事(株),大阪府大阪市,本社,大阪府大阪市,田中一郎,メールセキュリティ,30000,伊藤
鈴木商事(株),大阪府大阪市,本社,大阪府大阪市,田中一郎,サーバー保守,100000,伊藤
(株)山本建設,福岡県福岡市,福岡工場,福岡県糸島市,山本三郎,拠点間VPN,70000,高橋
(株)山本建設,福岡県福岡市,福岡工場,福岡県糸島市,山本三郎,サーバー保守,100000,高橋
(株)田中工業,東京都千代田区,新宿支店,東京都新宿区,鈴木次郎,バックアップ支援,40000,高橋
鈴木商事(株),大阪府大阪市,名古屋分室,愛知県名古屋市,渡辺五郎,メールセキュリティ,30000,伊藤
(株)山本建設,福岡県福岡市,本社,福岡県福岡市,山本三郎,クラウドストレージ,50000,高橋
